;DJ Industrial Average - Index Total Return Level;FTSE 100 - Index Total Return Level;France CAC 40 - Index Total Return Level
;DJIAK:FG_TOTAL_RET_IDX(,,'UNHEDGED');180555:FG_TOTAL_RET_IDX(,,'UNHEDGED');180454:FG_TOTAL_RET_IDX(,,'UNHEDGED')
;19870930;19851231;19871231
;20251208;20251208;20251208
;Index;Index;Index
;Dow Jones Global;FTSE UK;Euronext
20090806;16090,17457;2929,07;6560,50517
20090807;16288,02074;2954,69;6642,19415
20090810;16232,18766;2948,84;6610,88828
20090811;16069,88812;2917,08;6519,66241
20090812;16287,93145;2950,9;6615,98017
20090813;16351,57261;2975,11;6648,33637
20090814;16217,97876;2949,16;6593,39484
20090817;15903,01801;2906,02;6450,82687
20090818;16048,54184;2931,52;6509,29463
20090819;16166,98199;2940;6508,63723
20090820;16290,49157;2981,95;6612,35973
20090821;16568,69581;3041,07;6821,91098
20090824;16574,49173;3069,49;6890,64085
20090825;16626,78675;3082,39;6944,30154
20090826;16634,16338;3066,05;6921,13802
20090827;16698,84059;3052,74;6883,76544
20090828;16641,91273;3077,54;6979,70328
20090831;16558,36581;3077,54;6904,87039
20090901;16237,49611;3021,62;6772,38017
20090902;16190,42823;3022,03;6752,90082
20090903;16301,96725;3008,98;6715,81777
20090904;16470,59419;3043,45;6801,34334
20090907;16470,59419;3094,56;6903,5159
20090908;16572,40129;3103,44;6918,89339
20090909;16659,43844;3140,59;7007,19821
20090910;16799,48913;3130,15;7003,76597
20090911;16766,37798;3145,08;7058,61317
20090914;16804,76822;3149,72;7050,52151
20090915;16903,58022;3164,33;7091,34438
20090916;17092,62908;3216,14;7207,72606
20090917;17080,35909;3241,13;7248,32201
20090918;17143,68809;3246,74;7234,27848
20090921;17071,51942;3222,55;7204,65122
20090922;17160,57582;3227,73;7226,11448
20090923;17018,61331;3226,91;7222,8495
20090924;16946,84045;3189,17;7102,96044
20090925;16873,08855;3191,02;7066,64268
20090928;17093,7346;3243,44;7228,90945
20090929;17011,38823;3239,68;7208,31209
20090930;16961,49836;3223,93;7172,98608
20091001;16606,98995;3169,87;7031,93268
20091002;16569,90104;3132,75;6897,98097
20091005;16765,64075;3155,13;6945,44857
20091006;16995,30164;3226,5;7125,36919
20091007;16997,08471;3208,57;7099,27858
20091008;17104,20143;3237,3;7194,53175
20091009;17240,63986;3241,83;7180,92234
20091012;17277,09388;3272,17;7268,21248
20091013;17251,33832;3236,99;7184,28867
20091014;17504,40321;3302;7337,90735
20091015;17586,68892;3281,17;7340,08501
20091016;17469,53414;3260,62;7233,82698
20091019;17637,8038;3317,98;7356,22259
20091020;17549,17826;3294,02;7316,70259
20091021;17393,93309;3304,25;7320,04441
20091022;17630,24538;3272,52;7221,06445
20091023;17439,39809;3294,65;7197,23853
20091026;17257,14157;3262,7;7076,67156
20091027;17281,98873;3268,5;7075,73209
20091028;17073,03474;3192,74;6924,21593
20091029;17422,61305;3228,75;7019,17374
20091030;16985,6732;3170,2;6818,21416
20091102;17119,8214;3207,88;6878,25923
20091103;17089,15895;3165,59;6773,90913
20091104;17151,9741;3215,66;6936,60191
20091105;17508,63191;3226,84;7009,17901
20091106;17546,46896;3237,6;7006,44789
20091109;17908,41691;3295,8;7154,23694
20091110;17948,925;3292,89;7154,42762
20091111;18026,49933;3320,09;7208,85528
20091112;17862,2165;3326,24;7196,92105
20091113;17990,09499;3338,77;7218,17797
20091116;18238,29817;3393,17;7328,14442
20091117;18293,40077;3370;7263,4539
20091118;18285,77949;3374,54;7264,22366
20091119;18121,15976;3327,52;7135,30116
20091120;18102,59694;3317,23;7077,88389
20091123;18335,56036;3382,98;7237,0837
20091124;18305,32947;3363,06;7182,89525
20091125;18359,16166;3389,51;7229,46735
20091126;18359,16166;3281,68;6982,87364
20091127;18100,69404;3314,28;7063,90231
20091130;18161,99386;3279,49;6985,50982
20091201;18387,52668;3356,25;7166,95584
20091202;18354,48279;3367,38;7205,26211
20091203;18202,53402;3358,29;7211,32308
20091204;18242,47863;3364,2;7301,50161
20091207;18244,60193;3356,81;7289,02045
20091208;18066,06904;3301,48;7185,10457
20091209;18159,43588;3289,51;7132,13221
20091210;18284,93072;3315,09;7209,92303
20091211;18405,41247;3325,97;7220,07105
20091214;18458,41686;3359,96;7273,17106
20091215;18372,20169;3341,26;7290,50263
20091216;18353,07228;3363,25;7369,86499
20091217;18119,5341;3298,36;7284,29796
20091218;18155,80027;3285,21;7215,10339
20091221;18305,64729;3346,65;7362,70576
20091222;18394,91786;3368,57;7412,74713
20091223;18398,90344;3396,64;7436,28355
20091224;18493,22886;3415,63;7440,03643
20091225;18493,22886;3415,63;7440,03643
20091228;18544,52069;3415,63;7505,48189
20091229;18541,59732;3437,88;7529,88907
20091230;18547,04541;3412,89;7483,33733
20091231;18335,23408;3422,39;7484,92508
20100101;18335,23408;3422,39;7484,92508
20100104;18610,04067;3477,69;7632,54407
20100105;18589,04481;3491,7;7630,53998
20100106;18603,871;3496,56;7639,58134
20100107;18664,64623;3494,47;7653,14848
20100108;18684,59434;3499,22;7691,81428
20100111;18765,18469;3501,64;7687,9273
20100112;18700,55283;3476,75;7606,07871
20100113;18794,70789;3460,94;7607,62603
20100114;18847,10492;3476,57;7635,96754
20100115;18675,10126;3449,49;7519,24194
20100118;18675,10126;3474,16;7563,12489
20100119;18878,89833;3486,02;7624,37826
20100120;18669,4492;3428,91;7470,88345
20100121;18293,93113;3374,69;7343,87565
20100122;17912,02579;3354,38;7265,20099
20100125;17954,07529;3327,39;7191,16907
20100126;17949,55098;3337,85;7239,07679
20100127;18023,27069;3300,69;7149,2435
